uniqueID,chrom,strand,chromStart,chromEnd,locus_kb,danko_rate_kb_min,medianDist10_kb,medianDist25_kb,medianDist40_kb,psi_diff40,psi_diff25,psi_raw40,ad_gain_db_0m,ad_gain_db_10m,ad_gain_db_25m,ad_gain_db_40m
chr3_57969166_58133022_+,chr3,+,57969166,58133022,163.856,1.961496599,16.1,36.7,81.4,0.8088999480891799,0.3682438902954372,0.7307380167617904,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr14_90807419_90953886_-,chr14,-,90807419,90953886,146.467,2.08,13.7,40.8,77.5,0.7271315479821946,0.5040007298339748,0.6986349396510839,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr14_92473011_92652016_-,chr14,-,92473011,92652016,179.005,3.084489796,4.4,40.5,106.7,0.5529857563726988,0.2829461280474616,0.4955517548926292,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr1_21416326_21544621_-,chr1,-,21416326,21544621,128.295,2.445,12.7,37.4,82.7,0.5012414289588378,0.5651013913659929,0.267026258037702,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr17_72789086_73008273_+,chr17,+,72789086,73008273,219.187,1.96829932,16.5,30.7,67.4,0.6333465246489622,0.21091230277029338,0.5719547662353548,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr3_66511910_66633535_-,chr3,-,66511910,66633535,121.625,1.94688172,28.6,42.5,84.9,0.5649213468183546,0.5887863397202386,0.5099386340915587,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr5_139008129_139148300_+,chr5,+,139008129,139148300,140.171,1.711176471,14.0,44.6,66.0,0.7765331659382592,0.49518389384209355,0.7659648835226924,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr5_167651642_167831884_+,chr5,+,167651642,167831884,180.242,2.144561404,27.2,45.6,88.2,0.7810798037171437,0.45690498726048473,0.7509908114488572,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr12_62524807_62827880_+,chr12,+,62524807,62827880,303.073,2.590340136,9.8,40.9,82.4,0.5546992052354625,0.24027020886245748,0.4641921456420596,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr1_17719200_17902750_+,chr1,+,17719200,17902750,183.55,2.292,28.8,57.7,94.4,0.7686240881598725,0.49727744970608684,0.6678850912590932,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr10_80498797_80746291_+,chr10,+,80498797,80746291,247.494,2.059183673,6.6,29.3,69.3,0.6840738257392031,0.30301035614066096,0.6657618057842766,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr8_97575100_97698900_+,chr8,+,97575100,97698900,123.8,2.766666667,4.3,41.4,86.3,0.6183282816653888,0.5455880570540593,0.22932677016264044,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr11_77603984_77806516_-,chr11,-,77603984,77806516,202.532,1.987741935,6.6,43.1,65.9,0.4995272702215026,0.24121538300374856,0.4589627014057051,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr4_88075177_88281229_+,chr4,+,88075177,88281229,206.052,1.876054422,3.4,11.5,52.8,0.24894395024648516,0.11455802278670138,0.1707580232740799,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr10_95056175_95232064_-,chr10,-,95056175,95232064,175.889,0.870909091,48.7,50.2,72.2,0.655404250999125,0.44880237002407103,0.614043811897288,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr5_60663856_60877755_+,chr5,+,60663856,60877755,213.899,2.561754386,13.8,45.1,90.8,0.7800510063761117,0.32472086746081363,0.7539152011379664,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr16_3952652_4106187_-,chr16,-,3952652,4106187,153.535,2.465333333,11.0,40.8,83.2,0.6176814261151701,0.4710920597969557,0.5993488850539918,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr6_20190850_20325900_-,chr6,-,20190850,20325900,135.05,2.106802721,17.5,43.1,84.4,0.5069681592968175,0.3213876652425206,0.3843896472791379,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr10_29786282_30064736_-,chr10,-,29786282,30064736,278.454,2.578823529,6.1,37.0,76.4,0.5473179681180119,0.19353652319557377,0.5722988769872256,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr9_37905894_38059210_-,chr9,-,37905894,38059210,153.316,2.58829932,14.2,49.0,88.8,0.7664875259057778,0.5506320622988935,0.7686984166022495,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr6_15354505_15630232_+,chr6,+,15354505,15630232,275.727,2.624,13.9,47.5,87.3,0.6653428423891088,0.32151606952937367,0.6552642817775493,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr19_4920123_5104608_+,chr19,+,4920123,5104608,184.485,2.222666667,9.8,36.3,79.8,0.6557393204525583,0.3282999998860084,0.574039547711098,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr17_62804385_63120109_+,chr17,+,62804385,63120109,315.724,2.302580645,4.0,23.7,71.1,0.4712113828779311,0.17828503217493993,0.44742348479294675,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr22_21852551_21990224_+,chr22,+,21852551,21990224,137.673,2.256326531,16.5,36.4,81.4,0.776002922433826,0.4901961747401437,0.7273208286259571,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr1_15123211_15267238_+,chr1,+,15123211,15267238,144.027,1.9,6.4,34.9,64.2,0.5967660388304672,0.3631796300899766,0.4712928053646679,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr8_17545583_17702706_-,chr8,-,17545583,17702706,157.123,2.808888889,18.2,53.8,102.5,0.7222134349643841,0.6265313685781971,0.7088773603335047,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr18_9698227_9852553_+,chr18,+,9698227,9852553,154.326,1.844,14.8,37.0,59.8,0.6009144744764143,0.30020059336345645,0.5251111211969741,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr10_134201342_134446974_+,chr10,+,134201342,134446974,245.632,2.254035088,9.7,37.7,88.9,0.6241706570305104,0.2776579191824312,0.6237728812952126,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr1_65071493_65204775_-,chr1,-,65071493,65204775,133.282,2.440727273,12.5,41.5,82.9,0.6534175569784967,0.590341157025578,0.6259489782098221,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr12_37973296_38123185_-,chr12,-,37973296,38123185,149.889,2.192,13.8,29.8,78.2,0.7883223872008868,0.4020601807455309,0.7675215923206836,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr1_160306204_160606437_+,chr1,+,160306204,160606437,300.233,2.993741497,11.0,46.6,101.0,0.6379757586181843,0.2877328305985575,0.6505505847058417,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr4_37569114_37817189_+,chr4,+,37569114,37817189,248.075,2.419569892,9.2,37.3,72.5,0.4598878164238049,0.15642318936594662,0.3888181247459034,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr21_31412606_31853161_-,chr21,-,31412606,31853161,440.555,1.467407407,30.0,37.9,72.2,0.3784204397431795,0.20106579139703923,0.4175040851790828,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr17_68842118_69151822_-,chr17,-,68842118,69151822,309.704,1.708571429,7.0,35.0,52.0,0.47091663415968354,0.19842771592972328,0.4666366923630712,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr4_2233623_2391950_-,chr4,-,2233623,2391950,158.327,1.339569892,7.4,23.7,43.6,0.6758826907868489,0.32425926341157413,0.6138366533693508,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr16_17103681_17472239_-,chr16,-,17103681,17472239,368.558,1.805185185,12.9,37.3,61.6,0.39725655112946195,0.20401833863968658,0.42148468980930026,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr13_112670757_112800863_+,chr13,+,112670757,112800863,130.106,1.577777778,23.6,49.8,74.6,0.6336360346071942,0.5081217006636795,0.6350049581723062,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr13_97593434_97900024_+,chr13,+,97593434,97900024,306.59,2.337333333,10.8,36.9,80.0,0.49448806078198787,0.2817364568847603,0.527577157025639,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr2_200879229_201055231_+,chr2,+,200879229,201055231,176.002,2.658666667,12.8,42.3,86.4,0.7078548242364415,0.39397932907834127,0.659419303993272,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr15_30853636_31147377_-,chr15,-,30853636,31147377,293.741,2.888,10.7,44.8,99.1,0.6507878573781187,0.2907651330258635,0.6416244957194653,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr17_41327543_41461546_+,chr17,+,41327543,41461546,134.003,1.463157895,11.3,32.7,51.7,0.6666427684008234,0.5309761090658659,0.6177096729607104,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr20_34142839_34284135_+,chr20,+,34142839,34284135,141.296,1.835490196,13.0,10.6,61.8,0.7187704739492158,0.40353585450479984,0.6493570486773759,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr10_17402681_17536260_-,chr10,-,17402681,17536260,133.579,0.378039216,20.4,23.6,27.6,0.35199034415970987,0.245447324911242,0.3513206897391692,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
chr11_16765787_16992539_-,chr11,-,16765787,16992539,226.752,1.961333333,4.5,,64.9,0.2959993687021298,0.1477510445271467,0.3148399360664387,4.771212547196624,4.771212547196624,3.010299956639812,4.771212547196624
